rank,player,division,WP,PPW,AS,PTS,95+,R5,R6,R7,R8,R9,171+,171+T,C3,C4,C5,C6,S90,F90,180
1,Tom Lettieri,Division 1,1,835.0,8,835,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0
2,Jeff Jean-Louis,Division 1,1,680.0,6,680,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,"Anaelechi ""Lay"""""" Owunwanne",Division 1,1,569.0,5,569,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Ron Belfon,Division 1,1,540.0,5,540,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andrew Barnes,Division 2,1,440.0,4,440,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,"Cam ""Jiminy"" Green",Division 1,1,438.0,4,438,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Patrick OSullivan,Division 1,1,400.0,4,400,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Tom Sievewright,Division 1,1,380.0,3,380,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Mike Speciale,Division 1,1,350.0,3,350,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Mike Sheehan,Division 3,1,340.0,3,340,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Erian Caballero,Division 2,1,323.0,3,323,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Scott Schilling,Division 2,1,320.0,3,320,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Ryan Meehan,Division 1,1,313.0,3,313,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
14,Rick Allen,Division 4,1,301.0,3,301,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Neil Shah,Division 1,1,300.0,3,300,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kevin O'Brien,Division 3,1,280.0,2,280,1,1,0,0,0,0,1,180,0,0,0,0,0,0,1
17,Brian Tuohy,Division 2,1,271.0,2,271,1,1,0,0,0,0,1,171,0,0,0,0,0,0,0
18,Josh Hollenberg,Division 4,1,245.0,2,245,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Peter Barone,Division 4,1,240.0,2,240,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Caleb Newberg,Division 1,1,236.0,2,236,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Rahim Johnson,Division 3,1,230.0,2,230,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Micky Meer,Division 4,1,227.0,2,227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Mack Diller,Division 4,1,225.0,2,225,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Diana King,Division 3,1,224.0,2,224,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Joe Bentham,Division 4,1,221.0,2,221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Albert Bevacqua,Division 1,1,220.0,2,220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Colin  Ratner,Division 3,1,220.0,2,220,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28,Jack Mayfield,Division 5,1,220.0,2,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Jimmy Alomar,Division 1,1,220.0,2,220,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
30,Micala Brown,Division 5,1,220.0,2,220,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Nick Hudak,Division 2,1,220.0,2,220,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Chris Dixon,Division 3,1,218.0,2,218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Kyle McKeveny,Division 2,1,218.0,2,218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Gerry Hernandez,Division 4,1,210.0,2,210,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Josh Goldberg ,Division 2,1,201.0,2,201,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Bill Jones,Division 2,1,200.0,2,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Brian Caine,Division 2,1,200.0,2,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Daniel Montoya,Division 3,1,200.0,2,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Elle McGinnity ,Division 5,1,200.0,2,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Emile (Emo) Gay,Division 2,1,200.0,2,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Jared Preston,Division 1,1,200.0,2,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Jenn Renoe,Division 5,1,200.0,2,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Joe Pfeifer,Division 5,1,200.0,2,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
44,John Santos,Division 4,1,200.0,2,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,Mathew Varon,Division 4,1,200.0,2,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Miles Knight,Division 1,1,200.0,2,200,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
47,Omar Modesto,Division 3,1,200.0,2,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Robb Cangiano,Division 3,1,200.0,2,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Seth Levine,Division 2,1,200.0,2,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Yaneev Cohen,Division 4,1,200.0,2,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,"Ryan ""Chuck"" Kuntz",Division 3,1,196.0,2,196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Akash Shembekar,Division 3,1,195.0,2,195,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Josh Knappenberger,Division 1,1,195.0,2,195,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Dave  B,Division 4,1,191.0,2,191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Mitch Kubik,Division 1,1,190.0,2,190,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Lulu Bird,Division 5,1,160.0,1,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,Cal Behr,Division 3,1,140.0,1,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,Connor Dick,Division 2,1,140.0,1,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Dylan Leitner,Division 3,1,140.0,1,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,Grace Corbett,Division 5,1,140.0,1,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,John Mundt,Division 3,1,140.0,1,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Olivier Grange,Division 1,1,140.0,1,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,Keyah Harris,Division 4,1,121.0,1,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,John Booth,Division 2,1,120.0,1,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,Joe Heegan,Division 4,1,119.0,1,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Adam Caballero,Division 3,1,115.0,1,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Thomas Diaz,Division 2,1,115.0,1,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Jennifer M. Clark,Division 3,1,108.0,1,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Cecil Green,Division 5,1,101.0,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Bill Lynch,Division 5,1,100.0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Bryan Hanlon,Division 3,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Caitlin Mullins-Escue,Division 3,1,100.0,1,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,Craig Hubler,Division 4,1,100.0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Danny Kot,Division 5,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Garrett Freeberg,Division 5,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,George Johnson,Division 2,1,100.0,1,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,Grace Evans,Division 3,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Joe Nisanov,Division 2,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,John Coletti,Division 4,1,100.0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,John Quigley,Division 3,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Keenan Ferguson,Division 3,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Kevin Dominguez,Division 2,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Kevin Gutierrez ,Division 3,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Louie Palanca,Division 4,1,100.0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mark Lojek,Division 4,1,100.0,1,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,Mitchell Macksey,Division 5,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Natty Sergay,Division 5,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Nicole Sponsler,Division 5,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Paul Hargreaves,Division 1,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Perrie  ,Division 4,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Romane Bronkhost,Division 4,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Ryan DeForest,Division 1,1,100.0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Sam DeLuccia,Division 5,1,100.0,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Thor Axelsson,Division 3,1,100.0,1,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,Zach Desantis-Salavarria,Division 2,1,100.0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Angelina Martinez ,Division 5,1,98.0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Patrick Jedrysek,Division 5,1,98.0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Devon Lewis,Division 5,1,97.0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Quadiza (Q) Trower,Division 2,1,97.0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Brian Agamie,Division 1,1,95.0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Derek Wybourn,Division 1,1,95.0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Lauren Gutierrez,Division 5,1,95.0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Mike Hernandez,Division 3,1,95.0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Patrick Sibilia,Division 2,1,95.0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
